node_id,haplotype_count,path_fraction,predecessor_consistency,successor_consistency,local_consistency,consistency_score,status
n177,36,1.0,1.0,1.0,1.0,1.0,shared
n178,36,1.0,1.0,1.0,1.0,1.0,shared
n179,36,1.0,0.5,0.5,1.0,0.75,shared
n180,36,1.0,0.5,0.5,1.0,0.75,shared
n181,36,1.0,1.0,1.0,1.0,1.0,shared
n182,36,1.0,1.0,1.0,1.0,1.0,shared
n183,36,1.0,1.0,1.0,1.0,1.0,shared
n184,36,1.0,1.0,1.0,1.0,1.0,shared
n185,36,1.0,1.0,1.0,1.0,1.0,shared
n186,36,1.0,1.0,1.0,1.0,1.0,shared
n187,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n188,36,1.0,1.0,1.0,1.0,1.0,shared
n189,36,1.0,1.0,1.0,1.0,1.0,shared
n190,36,1.0,1.0,1.0,1.0,1.0,shared
n191,36,1.0,1.0,1.0,1.0,1.0,shared
n192,36,1.0,1.0,1.0,1.0,1.0,shared
n193,36,1.0,1.0,1.0,1.0,1.0,shared
n194,36,1.0,1.0,1.0,1.0,1.0,shared
n195,36,1.0,1.0,1.0,1.0,1.0,shared
n196,36,1.0,1.0,1.0,1.0,1.0,shared
n197,36,1.0,1.0,1.0,1.0,1.0,shared
n198,36,1.0,1.0,1.0,1.0,1.0,shared
n199,36,1.0,1.0,1.0,1.0,1.0,shared
n200,36,1.0,1.0,1.0,1.0,1.0,shared
n201,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n202,1,0.027777777777777776,1.0,1.0,1.0,0.7569444444444444,rescued_private
n203,36,1.0,1.0,1.0,1.0,1.0,shared
n204,36,1.0,1.0,1.0,1.0,1.0,shared
n205,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n206,36,1.0,0.5,0.5,1.0,0.75,shared
n207,36,1.0,1.0,1.0,1.0,1.0,shared
n208,36,1.0,1.0,1.0,1.0,1.0,shared
n209,36,1.0,1.0,1.0,1.0,1.0,shared
n210,36,1.0,1.0,1.0,1.0,1.0,shared
n211,36,1.0,1.0,1.0,1.0,1.0,shared
n212,36,1.0,1.0,1.0,1.0,1.0,shared
n213,36,1.0,1.0,1.0,1.0,1.0,shared
n214,36,1.0,1.0,1.0,1.0,1.0,shared
n215,36,1.0,1.0,1.0,1.0,1.0,shared
n216,36,1.0,1.0,1.0,1.0,1.0,shared
n217,36,1.0,1.0,1.0,1.0,1.0,shared
n218,36,1.0,1.0,1.0,1.0,1.0,shared
n219,36,1.0,0.5,0.5,1.0,0.75,shared
n220,36,1.0,1.0,1.0,1.0,1.0,shared
n221,36,1.0,1.0,1.0,1.0,1.0,shared
n222,36,1.0,1.0,1.0,1.0,1.0,shared
n223,36,1.0,1.0,1.0,1.0,1.0,shared
n224,36,1.0,1.0,1.0,1.0,1.0,shared
n225,36,1.0,1.0,1.0,1.0,1.0,shared
n226,36,1.0,1.0,1.0,1.0,1.0,shared
n227,36,1.0,1.0,1.0,1.0,1.0,shared
n228,36,1.0,1.0,1.0,1.0,1.0,shared
n229,36,1.0,1.0,1.0,1.0,1.0,shared
n230,36,1.0,1.0,1.0,1.0,1.0,shared
n231,36,1.0,1.0,1.0,1.0,1.0,shared
n232,36,1.0,0.5,0.5,1.0,0.75,shared
n233,36,1.0,1.0,1.0,1.0,1.0,shared
n234,36,1.0,1.0,1.0,1.0,1.0,shared
n235,36,1.0,1.0,1.0,1.0,1.0,shared
n236,36,1.0,0.5,0.5,1.0,0.75,shared
n237,36,1.0,1.0,1.0,1.0,1.0,shared
n238,36,1.0,1.0,1.0,1.0,1.0,shared
n239,36,1.0,1.0,1.0,1.0,1.0,shared
n240,36,1.0,0.5,0.5,1.0,0.75,shared
n241,36,1.0,1.0,1.0,1.0,1.0,shared
n242,36,1.0,1.0,1.0,1.0,1.0,shared
n243,36,1.0,0.5,0.5,1.0,0.75,shared
n244,36,1.0,1.0,1.0,1.0,1.0,shared
n245,36,1.0,0.5,0.5,1.0,0.75,shared
n246,36,1.0,1.0,1.0,1.0,1.0,shared
n247,36,1.0,0.5,0.5,1.0,0.75,shared
n248,36,1.0,1.0,1.0,1.0,1.0,shared
n249,36,1.0,1.0,1.0,1.0,1.0,shared
n250,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n251,36,1.0,1.0,1.0,1.0,1.0,shared
n252,36,1.0,1.0,1.0,1.0,1.0,shared
n253,36,1.0,1.0,1.0,1.0,1.0,shared
n254,36,1.0,1.0,1.0,1.0,1.0,shared
n255,36,1.0,1.0,1.0,1.0,1.0,shared
n256,36,1.0,1.0,1.0,1.0,1.0,shared
n257,36,1.0,1.0,1.0,1.0,1.0,shared
n258,36,1.0,1.0,1.0,1.0,1.0,shared
n259,36,1.0,1.0,1.0,1.0,1.0,shared
n260,36,1.0,1.0,1.0,1.0,1.0,shared
n261,36,1.0,1.0,1.0,1.0,1.0,shared
n262,36,1.0,1.0,1.0,1.0,1.0,shared
n263,36,1.0,1.0,1.0,1.0,1.0,shared
n264,36,1.0,1.0,1.0,1.0,1.0,shared
n265,36,1.0,1.0,1.0,1.0,1.0,shared
n266,36,1.0,1.0,1.0,1.0,1.0,shared
n267,36,1.0,1.0,1.0,1.0,1.0,shared
n268,36,1.0,1.0,1.0,1.0,1.0,shared
n269,36,1.0,1.0,1.0,1.0,1.0,shared
n270,36,1.0,1.0,1.0,1.0,1.0,shared
n271,36,1.0,1.0,1.0,1.0,1.0,shared
n272,36,1.0,1.0,1.0,1.0,1.0,shared
n273,36,1.0,1.0,1.0,1.0,1.0,shared
n274,36,1.0,1.0,1.0,1.0,1.0,shared
n275,36,1.0,1.0,1.0,1.0,1.0,shared
n276,36,1.0,1.0,1.0,1.0,1.0,shared
n277,36,1.0,1.0,1.0,1.0,1.0,shared
n278,36,1.0,1.0,1.0,1.0,1.0,shared
n279,36,1.0,1.0,1.0,1.0,1.0,shared
n280,36,1.0,1.0,1.0,1.0,1.0,shared
n281,36,1.0,1.0,1.0,1.0,1.0,shared
n282,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n283,36,1.0,1.0,1.0,1.0,1.0,shared
n284,36,1.0,1.0,1.0,1.0,1.0,shared
n285,36,1.0,1.0,0.5,1.0,0.875,shared
n286,36,1.0,0.5,0.5,1.0,0.75,shared
n287,36,1.0,1.0,1.0,1.0,1.0,shared
n288,36,1.0,1.0,1.0,1.0,1.0,shared
n289,36,1.0,1.0,1.0,1.0,1.0,shared
n290,36,1.0,0.5,0.5,1.0,0.75,shared
n291,36,1.0,1.0,1.0,1.0,1.0,shared
n292,36,1.0,1.0,1.0,1.0,1.0,shared
n293,36,1.0,1.0,1.0,1.0,1.0,shared
n294,36,1.0,1.0,1.0,1.0,1.0,shared
n295,36,1.0,1.0,1.0,1.0,1.0,shared
n296,36,1.0,1.0,1.0,1.0,1.0,shared
n297,36,1.0,1.0,1.0,1.0,1.0,shared
n298,36,1.0,0.5,1.0,1.0,0.875,shared
n299,36,1.0,1.0,1.0,1.0,1.0,shared
n300,36,1.0,1.0,1.0,1.0,1.0,shared
n301,36,1.0,1.0,1.0,1.0,1.0,shared
n302,36,1.0,1.0,1.0,1.0,1.0,shared
n303,36,1.0,1.0,1.0,1.0,1.0,shared
n304,36,1.0,1.0,1.0,1.0,1.0,shared
n305,36,1.0,0.5,1.0,1.0,0.875,shared
n306,36,1.0,1.0,1.0,1.0,1.0,shared
n307,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n308,36,1.0,1.0,1.0,1.0,1.0,shared
n309,36,1.0,0.5,0.5,1.0,0.75,shared
n310,36,1.0,1.0,1.0,1.0,1.0,shared
n311,36,1.0,1.0,1.0,1.0,1.0,shared
n312,36,1.0,1.0,1.0,1.0,1.0,shared
n313,36,1.0,1.0,1.0,1.0,1.0,shared
n314,36,1.0,0.5,0.25,1.0,0.6875,shared
n315,36,1.0,1.0,1.0,1.0,1.0,shared
n316,36,1.0,0.3333333333333333,0.6666666666666666,1.0,0.75,shared
n317,36,1.0,1.0,1.0,1.0,1.0,shared
n318,36,1.0,1.0,1.0,1.0,1.0,shared
n319,36,1.0,1.0,1.0,1.0,1.0,shared
n320,36,1.0,0.5,0.5,1.0,0.75,shared
n321,36,1.0,1.0,1.0,1.0,1.0,shared
n322,36,1.0,1.0,1.0,1.0,1.0,shared
n323,36,1.0,0.5,0.5,1.0,0.75,shared
n324,36,1.0,1.0,1.0,1.0,1.0,shared
n325,36,1.0,0.5,0.5,1.0,0.75,shared
n326,36,1.0,0.5,1.0,1.0,0.875,shared
n327,36,1.0,1.0,1.0,1.0,1.0,shared
n328,36,1.0,1.0,1.0,1.0,1.0,shared
n329,36,1.0,1.0,1.0,1.0,1.0,shared
n330,36,1.0,1.0,1.0,1.0,1.0,shared
n331,36,1.0,1.0,1.0,1.0,1.0,shared
n332,36,1.0,0.5,0.5,1.0,0.75,shared
n333,36,1.0,1.0,1.0,1.0,1.0,shared
n334,36,1.0,0.5,1.0,1.0,0.875,shared
n335,36,1.0,1.0,1.0,1.0,1.0,shared
n336,36,1.0,1.0,1.0,1.0,1.0,shared
n337,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n338,36,1.0,1.0,1.0,1.0,1.0,shared
n339,36,1.0,1.0,1.0,1.0,1.0,shared
n340,36,1.0,0.5,0.5,1.0,0.75,shared
n341,36,1.0,1.0,1.0,1.0,1.0,shared
n342,36,1.0,1.0,1.0,1.0,1.0,shared
n343,36,1.0,1.0,1.0,1.0,1.0,shared
n344,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n345,36,1.0,1.0,1.0,1.0,1.0,shared
n346,36,1.0,1.0,1.0,1.0,1.0,shared
n347,36,1.0,1.0,1.0,1.0,1.0,shared
n348,36,1.0,1.0,1.0,1.0,1.0,shared
n349,36,1.0,1.0,1.0,1.0,1.0,shared
n350,36,1.0,1.0,1.0,1.0,1.0,shared
n351,36,1.0,1.0,1.0,1.0,1.0,shared
n352,36,1.0,1.0,1.0,1.0,1.0,shared
n353,36,1.0,1.0,1.0,1.0,1.0,shared
n354,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n355,36,1.0,1.0,1.0,1.0,1.0,shared
n356,36,1.0,1.0,1.0,1.0,1.0,shared
n357,36,1.0,0.6666666666666666,0.3333333333333333,1.0,0.75,shared
n358,36,1.0,1.0,1.0,1.0,1.0,shared
n359,36,1.0,1.0,1.0,1.0,1.0,shared
n360,36,1.0,0.5,0.5,1.0,0.75,shared
n361,36,1.0,1.0,1.0,1.0,1.0,shared
n362,36,1.0,1.0,1.0,1.0,1.0,shared
n363,36,1.0,1.0,1.0,1.0,1.0,shared
n364,36,1.0,1.0,1.0,1.0,1.0,shared
n365,36,1.0,1.0,1.0,1.0,1.0,shared
n366,36,1.0,0.5,0.5,1.0,0.75,shared
n367,36,1.0,0.5,0.5,1.0,0.75,shared
n368,36,1.0,1.0,0.5,1.0,0.875,shared
n369,36,1.0,0.5,0.5,1.0,0.75,shared
n370,36,1.0,1.0,1.0,1.0,1.0,shared
n371,36,1.0,1.0,1.0,1.0,1.0,shared
n372,36,1.0,1.0,1.0,1.0,1.0,shared
n373,36,1.0,1.0,1.0,1.0,1.0,shared
n374,36,1.0,1.0,1.0,1.0,1.0,shared
n375,36,1.0,1.0,1.0,1.0,1.0,shared
n376,36,1.0,1.0,1.0,1.0,1.0,shared
n377,36,1.0,1.0,1.0,1.0,1.0,shared
n378,36,1.0,1.0,1.0,1.0,1.0,shared
n379,36,1.0,1.0,1.0,1.0,1.0,shared
n380,36,1.0,1.0,1.0,1.0,1.0,shared
n381,36,1.0,1.0,1.0,1.0,1.0,shared
n382,36,1.0,0.5,0.5,1.0,0.75,shared
n383,36,1.0,1.0,1.0,1.0,1.0,shared
n384,36,1.0,1.0,1.0,1.0,1.0,shared
n385,36,1.0,1.0,1.0,1.0,1.0,shared
n386,36,1.0,1.0,1.0,1.0,1.0,shared
n387,36,1.0,1.0,1.0,1.0,1.0,shared
n388,36,1.0,1.0,1.0,1.0,1.0,shared
n389,36,1.0,1.0,1.0,1.0,1.0,shared
n390,36,1.0,0.5,0.5,1.0,0.75,shared
n391,36,1.0,0.5,1.0,1.0,0.875,shared
n392,36,1.0,1.0,1.0,1.0,1.0,shared
n393,36,1.0,1.0,1.0,1.0,1.0,shared
n394,36,1.0,0.16666666666666666,0.6666666666666666,1.0,0.7083333333333334,shared
n395,36,1.0,1.0,1.0,1.0,1.0,shared
n396,36,1.0,1.0,1.0,1.0,1.0,shared
n397,36,1.0,1.0,1.0,1.0,1.0,shared
n398,36,1.0,0.5,0.5,1.0,0.75,shared
n399,36,1.0,1.0,1.0,1.0,1.0,shared
n400,36,1.0,0.42857142857142855,0.21428571428571427,1.0,0.6607142857142857,shared
n401,36,1.0,1.0,1.0,1.0,1.0,shared
n402,36,1.0,0.5,0.5,1.0,0.75,shared
n403,36,1.0,0.5,0.5,1.0,0.75,shared
n404,36,1.0,1.0,1.0,1.0,1.0,shared
n405,36,1.0,1.0,1.0,1.0,1.0,shared
n406,36,1.0,1.0,1.0,1.0,1.0,shared
n407,36,1.0,1.0,1.0,1.0,1.0,shared
n408,36,1.0,0.5,0.5,1.0,0.75,shared
n409,36,1.0,1.0,1.0,1.0,1.0,shared
n410,36,1.0,1.0,1.0,1.0,1.0,shared
n411,36,1.0,1.0,1.0,1.0,1.0,shared
n412,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n413,36,1.0,1.0,1.0,1.0,1.0,shared
n414,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n415,36,1.0,1.0,1.0,1.0,1.0,shared
n416,36,1.0,1.0,1.0,1.0,1.0,shared
n417,36,1.0,1.0,1.0,1.0,1.0,shared
n418,36,1.0,1.0,1.0,1.0,1.0,shared
n419,36,1.0,1.0,1.0,1.0,1.0,shared
n420,36,1.0,0.25,0.25,1.0,0.625,shared
n421,36,1.0,1.0,1.0,1.0,1.0,shared
n422,36,1.0,0.5384615384615384,0.23076923076923078,1.0,0.6923076923076923,shared
n423,36,1.0,0.2222222222222222,0.4444444444444444,1.0,0.6666666666666667,shared
n424,36,1.0,0.5,0.5,1.0,0.75,shared
n425,36,1.0,0.16666666666666666,0.16666666666666666,1.0,0.5833333333333334,shared
n426,36,1.0,1.0,1.0,1.0,1.0,shared
n427,36,1.0,0.6666666666666666,0.3333333333333333,1.0,0.75,shared
n428,36,1.0,0.5,0.5,1.0,0.75,shared
n429,36,1.0,1.0,1.0,1.0,1.0,shared
n430,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n431,36,1.0,0.25,0.25,1.0,0.625,shared
n432,36,1.0,1.0,1.0,1.0,1.0,shared
n433,36,1.0,1.0,1.0,1.0,1.0,shared
n434,36,1.0,0.5,0.5,1.0,0.75,shared
n435,36,1.0,1.0,1.0,1.0,1.0,shared
n436,36,1.0,0.5,0.5,1.0,0.75,shared
n437,36,1.0,1.0,1.0,1.0,1.0,shared
n438,36,1.0,1.0,1.0,1.0,1.0,shared
n439,36,1.0,1.0,1.0,1.0,1.0,shared
n440,36,1.0,0.5,0.5,1.0,0.75,shared
n441,36,1.0,1.0,1.0,1.0,1.0,shared
n442,36,1.0,1.0,1.0,1.0,1.0,shared
n443,36,1.0,1.0,1.0,1.0,1.0,shared
n444,36,1.0,1.0,1.0,1.0,1.0,shared
n445,36,1.0,1.0,1.0,1.0,1.0,shared
n446,36,1.0,1.0,1.0,1.0,1.0,shared
n447,36,1.0,1.0,1.0,1.0,1.0,shared
n448,36,1.0,1.0,1.0,1.0,1.0,shared
n449,36,1.0,1.0,1.0,1.0,1.0,shared
n450,36,1.0,1.0,1.0,1.0,1.0,shared
n451,36,1.0,1.0,1.0,1.0,1.0,shared
n452,36,1.0,1.0,1.0,1.0,1.0,shared
n453,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n454,36,1.0,1.0,1.0,1.0,1.0,shared
n455,36,1.0,1.0,1.0,1.0,1.0,shared
n456,36,1.0,0.5,0.5,1.0,0.75,shared
n457,36,1.0,1.0,1.0,1.0,1.0,shared
n458,36,1.0,1.0,1.0,1.0,1.0,shared
n459,36,1.0,1.0,1.0,1.0,1.0,shared
n460,36,1.0,1.0,1.0,1.0,1.0,shared
n461,36,1.0,1.0,1.0,1.0,1.0,shared
n462,36,1.0,1.0,1.0,1.0,1.0,shared
n463,36,1.0,1.0,1.0,1.0,1.0,shared
n464,36,1.0,1.0,1.0,1.0,1.0,shared
n465,36,1.0,1.0,1.0,1.0,1.0,shared
n466,36,1.0,1.0,1.0,1.0,1.0,shared
n467,36,1.0,1.0,1.0,1.0,1.0,shared
n468,36,1.0,1.0,1.0,1.0,1.0,shared
n469,36,1.0,1.0,1.0,1.0,1.0,shared
n470,36,1.0,1.0,1.0,1.0,1.0,shared
n471,36,1.0,1.0,1.0,1.0,1.0,shared
n472,36,1.0,1.0,1.0,1.0,1.0,shared
n473,36,1.0,1.0,1.0,1.0,1.0,shared
n474,36,1.0,1.0,1.0,1.0,1.0,shared
