source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n10130,n12061,36,1.0,1.0,1.0
n10131,n30246,36,1.0,1.0,1.0
n10131,n42647,36,1.0,1.0,1.0
n10132,n44229,36,1.0,1.0,1.0
n10133,n51298,36,1.0,1.0,1.0
n10134,n29630,36,1.0,1.0,1.0
n10135,n30266,36,1.0,1.0,1.0
n10136,n27695,36,1.0,1.0,1.0
n10137,n2443,36,1.0,1.0,1.0
n10138,n30176,36,1.0,1.0,1.0
n10139,n30284,36,1.0,1.0,1.0
n1014,n20707,36,1.0,1.0,1.0
n10140,n30495,36,1.0,1.0,1.0
n10141,n30306,36,1.0,1.0,1.0
n10142,n32146,36,1.0,1.0,1.0
n10143,n30308,36,1.0,1.0,1.0
n10144,n32497,36,1.0,1.0,1.0
n10145,n30313,36,1.0,1.0,1.0
n10146,n30353,36,1.0,1.0,1.0
n10147,n30357,36,1.0,1.0,1.0
n10148,n30389,36,1.0,1.0,1.0
n10149,n32309,36,1.0,1.0,1.0
n1015,n50347,36,1.0,1.0,1.0
n10150,n30405,36,1.0,1.0,1.0
n10151,n30426,36,1.0,1.0,1.0
n10152,n30333,36,1.0,1.0,1.0
n10153,n30334,36,1.0,1.0,1.0
n10154,n30436,36,1.0,1.0,1.0
n10155,n30335,36,1.0,1.0,1.0
n10156,n33539,36,1.0,1.0,1.0
n10157,n30483,36,1.0,1.0,1.0
n10158,n31220,36,1.0,1.0,1.0
n10159,n31314,36,1.0,1.0,1.0
n1016,n2715,36,1.0,1.0,1.0
n10160,n30358,36,1.0,1.0,1.0
n10161,n42670,36,1.0,1.0,1.0
n10162,n31575,36,1.0,1.0,1.0
n10163,n31805,36,1.0,1.0,1.0
n10164,n30378,36,1.0,1.0,1.0
n10165,n37448,36,1.0,1.0,1.0
n10166,n71326,36,1.0,1.0,1.0
n10167,n30657,36,1.0,1.0,1.0
n10168,n40213,36,1.0,1.0,1.0
n10169,n32159,36,1.0,1.0,1.0
n1017,n64743,36,1.0,1.0,1.0
n10170,n30712,36,1.0,1.0,1.0
n10171,n70061,36,1.0,1.0,1.0
n10172,n28081,36,1.0,1.0,1.0
n10173,n30730,36,1.0,1.0,1.0
n10174,n31872,36,1.0,1.0,1.0
n10175,n45794,36,1.0,1.0,1.0
n10176,n43527,36,1.0,1.0,1.0
n10177,n31448,36,1.0,1.0,1.0
n10178,n44220,36,1.0,1.0,1.0
n10179,n30416,36,1.0,1.0,1.0
n10179,n40738,36,1.0,1.0,1.0
n10179,n45836,36,1.0,1.0,1.0
n10179,n47105,36,1.0,1.0,1.0
n10179,n47108,36,1.0,1.0,1.0
n1018,n7281,36,1.0,1.0,1.0
n10180,n45865,36,1.0,1.0,1.0
n10181,n30417,36,1.0,1.0,1.0
n10182,n30422,36,1.0,1.0,1.0
n10183,n50951,36,1.0,1.0,1.0
n10184,n9410,36,1.0,1.0,1.0
n10185,n30438,36,1.0,1.0,1.0
n10186,n5312,36,1.0,1.0,1.0
n10187,n26992,36,1.0,1.0,1.0
n10188,n30448,36,1.0,1.0,1.0
n10189,n54334,36,1.0,1.0,1.0
n1019,n7283,36,1.0,1.0,1.0
n10190,n30943,36,1.0,1.0,1.0
n10191,n33276,36,1.0,1.0,1.0
n10192,n14856,36,1.0,1.0,1.0
n10193,n30472,36,1.0,1.0,1.0
n10194,n56512,36,1.0,1.0,1.0
n10195,n56550,36,1.0,1.0,1.0
n10196,n33812,36,1.0,1.0,1.0
n10197,n30486,36,1.0,1.0,1.0
n10198,n31099,36,1.0,1.0,1.0
n10199,n1436,36,1.0,1.0,1.0
n102,n1947,36,1.0,1.0,1.0
n1020,n2720,36,1.0,1.0,1.0
n10200,n33925,36,1.0,1.0,1.0
n10201,n31138,36,1.0,1.0,1.0
n10202,n25212,36,1.0,1.0,1.0
n10203,n26172,36,1.0,1.0,1.0
n10204,n31153,36,1.0,1.0,1.0
n10205,n34227,36,1.0,1.0,1.0
n10206,n31200,36,1.0,1.0,1.0
n10207,n35507,36,1.0,1.0,1.0
n10208,n31313,36,1.0,1.0,1.0
n10209,n34714,36,1.0,1.0,1.0
n1021,n20798,36,1.0,1.0,1.0
n10210,n34835,36,1.0,1.0,1.0
n10211,n60718,36,1.0,1.0,1.0
n10212,n60742,36,1.0,1.0,1.0
n10213,n34899,36,1.0,1.0,1.0
n10214,n8752,36,1.0,1.0,1.0
n10215,n40216,36,1.0,1.0,1.0
n10216,n35298,36,1.0,1.0,1.0
n10217,n30548,36,1.0,1.0,1.0
n10218,n35321,36,1.0,1.0,1.0
n10219,n44071,36,1.0,1.0,1.0
n1022,n20810,36,1.0,1.0,1.0
n10220,n63482,36,1.0,1.0,1.0
n10221,n30567,36,1.0,1.0,1.0
n10222,n31566,36,1.0,1.0,1.0
n10223,n30575,36,1.0,1.0,1.0
n10224,n35914,36,1.0,1.0,1.0
n10225,n64524,36,1.0,1.0,1.0
n10226,n65381,36,1.0,1.0,1.0
n10227,n30589,36,1.0,1.0,1.0
n10227,n31652,36,1.0,1.0,1.0
n10228,n36225,36,1.0,1.0,1.0
n10229,n31678,36,1.0,1.0,1.0
n1023,n20834,36,1.0,1.0,1.0
n10230,n52304,36,1.0,1.0,1.0
n10231,n4464,36,1.0,1.0,1.0
n10232,n36470,36,1.0,1.0,1.0
n10233,n30616,36,1.0,1.0,1.0
n10234,n23131,36,1.0,1.0,1.0
n10234,n30617,36,1.0,1.0,1.0
n10235,n30623,36,1.0,1.0,1.0
n10236,n68199,36,1.0,1.0,1.0
n10237,n69444,36,1.0,1.0,1.0
n10238,n31876,36,1.0,1.0,1.0
n10239,n31887,36,1.0,1.0,1.0
n1024,n7311,36,1.0,1.0,1.0
n10240,n66240,36,1.0,1.0,1.0
n10241,n52818,36,1.0,1.0,1.0
n10242,n37516,36,1.0,1.0,1.0
n10243,n71548,36,1.0,1.0,1.0
n10244,n32009,36,1.0,1.0,1.0
n10245,n32013,36,1.0,1.0,1.0
n10246,n1401,36,1.0,1.0,1.0
n10247,n9006,36,1.0,1.0,1.0
n10248,n38276,36,1.0,1.0,1.0
n10249,n4169,36,1.0,1.0,1.0
n1025,n49344,36,1.0,1.0,1.0
n1025,n49351,36,1.0,1.0,1.0
n10250,n30677,36,1.0,1.0,1.0
n10251,n16476,36,1.0,1.0,1.0
n10252,n66605,36,1.0,1.0,1.0
n10253,n32725,36,1.0,1.0,1.0
n10254,n32095,36,1.0,1.0,1.0
n10255,n39944,36,1.0,1.0,1.0
n10256,n30695,36,1.0,1.0,1.0
n10257,n53047,36,1.0,1.0,1.0
n10258,n32172,36,1.0,1.0,1.0
n10259,n41273,36,1.0,1.0,1.0
n1026,n57593,36,1.0,1.0,1.0
n10260,n30720,36,1.0,1.0,1.0
n10261,n32236,36,1.0,1.0,1.0
n10262,n32242,36,1.0,1.0,1.0
n10263,n48707,36,1.0,1.0,1.0
n10264,n27366,36,1.0,1.0,1.0
n10265,n21579,36,1.0,1.0,1.0
n10266,n43188,36,1.0,1.0,1.0
n10267,n30727,36,1.0,1.0,1.0
n10268,n29593,36,1.0,1.0,1.0
n10269,n32287,35,0.9722222222222222,1.0,0.9861111111111112
n1027,n49531,36,1.0,1.0,1.0
n10270,n32351,36,1.0,1.0,1.0
n10271,n18542,36,1.0,1.0,1.0
n10272,n66697,36,1.0,1.0,1.0
n10273,n9091,36,1.0,1.0,1.0
n10274,n32446,36,1.0,1.0,1.0
n10274,n60467,36,1.0,1.0,1.0
n10275,n46483,36,1.0,1.0,1.0
n10276,n52363,36,1.0,1.0,1.0
n10277,n44877,36,1.0,1.0,1.0
n10278,n47147,36,1.0,1.0,1.0
n10279,n46298,36,1.0,1.0,1.0
n1028,n65278,36,1.0,1.0,1.0
n10280,n32532,36,1.0,1.0,1.0
n10281,n45883,36,1.0,1.0,1.0
n10282,n47631,36,1.0,1.0,1.0
n10283,n30802,36,1.0,1.0,1.0
n10283,n9905,36,1.0,1.0,1.0
n10284,n53385,36,1.0,1.0,1.0
n10285,n32641,36,1.0,1.0,1.0
n10286,n32648,36,1.0,1.0,1.0
n10287,n32670,36,1.0,1.0,1.0
n10288,n60407,36,1.0,1.0,1.0
n10289,n36150,36,1.0,1.0,1.0
n1029,n60603,36,1.0,1.0,1.0
n10290,n30827,36,1.0,1.0,1.0
n10291,n50462,36,1.0,1.0,1.0
n10292,n30834,36,1.0,1.0,1.0
n10293,n50676,36,1.0,1.0,1.0
n10294,n65814,36,1.0,1.0,1.0
n10295,n51772,36,1.0,1.0,1.0
n10296,n50534,36,1.0,1.0,1.0
n10297,n30846,36,1.0,1.0,1.0
n10298,n1205,36,1.0,1.0,1.0
n10299,n30863,36,1.0,1.0,1.0
n103,n5253,36,1.0,1.0,1.0
n103,n5257,36,1.0,1.0,1.0
n1030,n65803,36,1.0,1.0,1.0
n10300,n5738,36,1.0,1.0,1.0
n10301,n30867,36,1.0,1.0,1.0
n10302,n3012,36,1.0,1.0,1.0
n10303,n30874,36,1.0,1.0,1.0
n10304,n52794,36,1.0,1.0,1.0
n10305,n52892,36,1.0,1.0,1.0
n10306,n53023,36,1.0,1.0,1.0
n10307,n53035,36,1.0,1.0,1.0
n10308,n53148,36,1.0,1.0,1.0
n10309,n33031,36,1.0,1.0,1.0
n1031,n21075,36,1.0,1.0,1.0
n10310,n5613,36,1.0,1.0,1.0
n10311,n49568,36,1.0,1.0,1.0
n10312,n33040,36,1.0,1.0,1.0
n10313,n53393,36,1.0,1.0,1.0
n10314,n18036,36,1.0,1.0,1.0
n10315,n59442,36,1.0,1.0,1.0
n10316,n20361,36,1.0,1.0,1.0
n10317,n20511,36,1.0,1.0,1.0
n10318,n65107,36,1.0,1.0,1.0
n10319,n33129,36,1.0,1.0,1.0
n1032,n21079,36,1.0,1.0,1.0
n1032,n65826,36,1.0,1.0,1.0
n10320,n30914,36,1.0,1.0,1.0
n10321,n33153,36,1.0,1.0,1.0
n10322,n30915,36,1.0,1.0,1.0
n10323,n53940,36,1.0,1.0,1.0
n10324,n8871,36,1.0,1.0,1.0
n10325,n27348,36,1.0,1.0,1.0
n10326,n27655,36,1.0,1.0,1.0
n10327,n33239,36,1.0,1.0,1.0
n10328,n28213,36,1.0,1.0,1.0
n10329,n30698,36,1.0,1.0,1.0
n1033,n21082,36,1.0,1.0,1.0
n10330,n30501,36,1.0,1.0,1.0
n10331,n32048,36,1.0,1.0,1.0
n10332,n62372,36,1.0,1.0,1.0
n10333,n67003,36,1.0,1.0,1.0
n10334,n54722,36,1.0,1.0,1.0
n10335,n54728,36,1.0,1.0,1.0
n10336,n54742,36,1.0,1.0,1.0
n10337,n12069,36,1.0,1.0,1.0
n10338,n12110,36,1.0,1.0,1.0
n10339,n30973,36,1.0,1.0,1.0
n1034,n51294,36,1.0,1.0,1.0
n10340,n30985,36,1.0,1.0,1.0
n10341,n55115,36,1.0,1.0,1.0
n10342,n33456,36,1.0,1.0,1.0
n10343,n14968,36,1.0,1.0,1.0
n10344,n42954,36,1.0,1.0,1.0
n10345,n46538,36,1.0,1.0,1.0
n10346,n15610,36,1.0,1.0,1.0
n10347,n55457,36,1.0,1.0,1.0
n10348,n31026,36,1.0,1.0,1.0
n10349,n69968,36,1.0,1.0,1.0
n1035,n2755,36,1.0,1.0,1.0
n10350,n33588,36,1.0,1.0,1.0
n10351,n17651,36,1.0,1.0,1.0
n10352,n17736,36,1.0,1.0,1.0
n10353,n55852,36,1.0,1.0,1.0
n10354,n17850,36,1.0,1.0,1.0
n10355,n18250,36,1.0,1.0,1.0
n10355,n18252,36,1.0,1.0,1.0
n10355,n31040,36,1.0,1.0,1.0
n10356,n33674,36,1.0,1.0,1.0
n10357,n31057,36,1.0,1.0,1.0
n10358,n31065,36,1.0,1.0,1.0
n10359,n56379,36,1.0,1.0,1.0
n1036,n51456,36,1.0,1.0,1.0
n10360,n31066,36,1.0,1.0,1.0
n10361,n33748,36,1.0,1.0,1.0
n10362,n33763,36,1.0,1.0,1.0
n10363,n20985,36,1.0,1.0,1.0
n10364,n63695,36,1.0,1.0,1.0
n10365,n22175,36,1.0,1.0,1.0
n10366,n33843,36,1.0,1.0,1.0
n10367,n31097,36,1.0,1.0,1.0
n10368,n69495,36,1.0,1.0,1.0
n10369,n33881,36,1.0,1.0,1.0
n1037,n51511,36,1.0,1.0,1.0
n1037,n69305,36,1.0,1.0,1.0
n10370,n57308,36,1.0,1.0,1.0
n10371,n33951,36,1.0,1.0,1.0
n10372,n24190,36,1.0,1.0,1.0
n10373,n31124,36,1.0,1.0,1.0
n10374,n7886,36,1.0,1.0,1.0
n10375,n8435,36,1.0,1.0,1.0
n10376,n10512,36,1.0,1.0,1.0
n10377,n31148,36,1.0,1.0,1.0
n10378,n12985,36,1.0,1.0,1.0
n10379,n13543,36,1.0,1.0,1.0
n10379,n34093,36,1.0,1.0,1.0
n1038,n65927,36,1.0,1.0,1.0
n10380,n14418,36,1.0,1.0,1.0
n10380,n14422,36,1.0,1.0,1.0
n10381,n31158,36,1.0,1.0,1.0
n10382,n15675,36,1.0,1.0,1.0
n10382,n34141,36,1.0,1.0,1.0
n10383,n31188,36,1.0,1.0,1.0
n10384,n23006,36,1.0,1.0,1.0
n10385,n28752,36,1.0,1.0,1.0
n10386,n25072,36,1.0,1.0,1.0
n10387,n25558,36,1.0,1.0,1.0
n10388,n31203,36,1.0,1.0,1.0
n10389,n58799,36,1.0,1.0,1.0
n1039,n2764,36,1.0,1.0,1.0
n10390,n34337,36,1.0,1.0,1.0
n10391,n18424,36,1.0,1.0,1.0
n10392,n28080,36,1.0,1.0,1.0
n10393,n34353,36,1.0,1.0,1.0
n10394,n30180,36,1.0,1.0,1.0
n10395,n29812,36,1.0,1.0,1.0
n10396,n30340,36,1.0,1.0,1.0
n10397,n31231,36,1.0,1.0,1.0
n10398,n34416,36,1.0,1.0,1.0
n10399,n59147,36,1.0,1.0,1.0
n104,n1978,36,1.0,1.0,1.0
n104,n271,36,1.0,1.0,1.0
n104,n272,36,1.0,1.0,1.0
n1040,n7409,36,1.0,1.0,1.0
n10400,n62055,36,1.0,1.0,1.0
n10401,n62340,36,1.0,1.0,1.0
n10402,n59403,36,1.0,1.0,1.0
n10403,n34519,36,1.0,1.0,1.0
n10404,n19719,36,1.0,1.0,1.0
n10405,n32677,36,1.0,1.0,1.0
n10405,n34576,36,1.0,1.0,1.0
n10406,n51900,36,1.0,1.0,1.0
n10407,n34586,36,1.0,1.0,1.0
n10408,n59733,36,1.0,1.0,1.0
n10409,n6094,36,1.0,1.0,1.0
n1041,n21166,36,1.0,1.0,1.0
n10410,n31295,36,1.0,1.0,1.0
n10411,n53944,36,1.0,1.0,1.0
n10412,n31296,36,1.0,1.0,1.0
n10412,n54345,36,1.0,1.0,1.0
n10413,n54407,36,1.0,1.0,1.0
n10414,n54416,36,1.0,1.0,1.0
n10415,n10835,36,1.0,1.0,1.0
n10416,n34626,36,1.0,1.0,1.0
n10417,n33496,36,1.0,1.0,1.0
