source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n7311,n15183,3,0.75,1.0,0.875
n7312,n3952,4,1.0,1.0,1.0
n7313,n231,3,0.75,1.0,0.875
n7314,n5207,4,1.0,1.0,1.0
n7315,n5231,3,0.75,1.0,0.875
n7316,n12410,4,1.0,1.0,1.0
n7317,n14655,4,1.0,1.0,1.0
n7318,n4709,4,1.0,1.0,1.0
n7319,n3346,3,0.75,1.0,0.875
n732,n13075,3,0.75,1.0,0.875
n7320,n4433,3,0.75,0.75,0.75
n7320,n5420,4,1.0,1.0,1.0
n7321,n4670,3,0.75,1.0,0.875
n7322,n14672,4,1.0,1.0,1.0
n7323,n12479,4,1.0,1.0,1.0
n7324,n5470,4,1.0,1.0,1.0
n7325,n12484,4,1.0,1.0,1.0
