source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n8166,n2386,14,1.0,1.0,1.0
n8167,n14310,13,0.9285714285714286,1.0,0.9642857142857143
n8168,n7352,14,1.0,1.0,1.0
n8169,n2400,13,0.9285714285714286,1.0,0.9642857142857143
n817,n11566,13,0.9285714285714286,1.0,0.9642857142857143
n8170,n2404,14,1.0,1.0,1.0
n8171,n7495,14,1.0,1.0,1.0
n8172,n66,14,1.0,1.0,1.0
n8173,n7607,13,0.9285714285714286,1.0,0.9642857142857143
n8174,n258,14,1.0,1.0,1.0
n8175,n3700,14,1.0,1.0,1.0
n8176,n2423,14,1.0,1.0,1.0
n8177,n1860,13,0.9285714285714286,1.0,0.9642857142857143
n8178,n575,13,0.9285714285714286,1.0,0.9642857142857143
n8179,n9451,14,1.0,1.0,1.0
n818,n3072,14,1.0,1.0,1.0
n8180,n9453,14,1.0,1.0,1.0
n8181,n1005,14,1.0,1.0,1.0
n8182,n1173,13,0.9285714285714286,1.0,0.9642857142857143
n8183,n9474,13,0.9285714285714286,1.0,0.9642857142857143
n8184,n4981,13,0.9285714285714286,1.0,0.9642857142857143
n8185,n1374,13,0.9285714285714286,1.0,0.9642857142857143
n8186,n9492,14,1.0,1.0,1.0
n8187,n6300,14,1.0,1.0,1.0
n8188,n1873,14,1.0,1.0,1.0
n8189,n8079,14,1.0,1.0,1.0
n819,n3075,14,1.0,1.0,1.0
n8190,n2078,14,1.0,1.0,1.0
n8191,n8133,13,0.9285714285714286,1.0,0.9642857142857143
n8192,n2459,13,0.9285714285714286,1.0,0.9642857142857143
n8193,n2381,14,1.0,1.0,1.0
n8194,n2466,13,0.9285714285714286,1.0,0.9642857142857143
